A,B,C
0.031851852,0.607975889,0.031851852
0.033703704,0.564779345,0.033703704
0.034074074,0.509675902,0.034074074
0.035740741,0.557099272,0.035740741
0.035740741,0.496091889,0.035740741
0.035740741,0.496091889,0.035740741
0.036111111,0.509514998,0.036111111
0.036666667,0.516186327,0.036666667
0.039259259,0.589552377,0.039259259
0.039814815,0.515821198,0.039814815
0.040925926,0.535426736,0.040925926
0.040925926,0.496091889,0.040925926
0.040925926,0.496091889,0.040925926
0.040555556,0.483064851,0.040555556
0.03962963,0.463453124,0.03962963
0.040740741,0.535470056,0.040740741
0.039814815,0.463484067,0.039814815
0.03962963,0.489538144,0.03962963
0.03962963,0.496091889,0.03962963
0.03962963,0.496091889,0.03962963
0.041481481,0.56171598,0.041481481
0.040740741,0.470118264,0.040740741
0.037962963,0.398274614,0.037962963
0.037777778,0.48946388,0.037777778
0.035555556,0.416493901,0.035555556
0.035555556,0.496091889,0.035555556
0.035555556,0.496091889,0.035555556
0.035555556,0.496091889,0.035555556
0.036111111,0.516248213,0.036111111
0.036111111,0.496091889,0.036111111
0.036481481,0.509490244,0.036481481
0.035740741,0.469357065,0.035740741
0.035740741,0.496091889,0.035740741
0.035740741,0.496091889,0.035740741
0.036481481,0.522938108,0.036481481
0.037777778,0.542871642,0.037777778
0.03462963,0.383329104,0.03462963
0.036111111,0.550143266,0.036111111
0.034259259,0.42911249,0.034259259
0.034259259,0.496091889,0.034259259
0.034259259,0.496091889,0.034259259
0.031111111,0.380983619,0.031111111
0.029814815,0.447795924,0.029814815
0.030185185,0.50999771,0.030185185
0.03,0.489154449,0.03
0.027592593,0.405799972,0.027592593
0.027592593,0.496091889,0.027592593
0.027592593,0.496091889,0.027592593
0.025740741,0.425603545,0.025740741
0.022962963,0.389146404,0.022962963
0.021851852,0.452561159,0.021851852
0.021296296,0.474171808,0.021296296
0.023333333,0.576748129,0.023333333
0.023333333,0.496091889,0.023333333
0.023333333,0.496091889,0.023333333
0.023333333,0.496091889,0.023333333
0.023148148,0.488851207,0.023148148
0.021666667,0.438116928,0.021666667
0.021851852,0.503406833,0.021851852
0.022407407,0.518011969,0.022407407
0.022407407,0.496091889,0.022407407
0.022407407,0.496091889,0.022407407
0.020555556,0.423282814,0.020555556
0.016666667,0.341376472,0.016666667
0.016296296,0.480979287,0.016296296
0.017407407,0.541541089,0.017407407
0.01962963,0.586328108,0.01962963
0.01962963,0.496091889,0.01962963
0.01962963,0.496091889,0.01962963
0.01962963,0.496091889,0.01962963
0.01962963,0.496091889,0.01962963
0.015185185,0.31821248,0.015185185
0.010740741,0.312952156,0.010740741
0.01037037,0.480366614,0.01037037
0.01037037,0.496091889,0.01037037
0.01037037,0.496091889,0.01037037
0.012962963,0.606459678,0.012962963
